id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
1,Base Glaze Peltzman,Glaze,Glossy,Transparent,8,8,69.5261,7.4455,0,0,1.4897,3.5624,5.0521,0,0.009,13.5916,0,0,4.3233,0,0.0064,0,0,0,0,0,0,0.0292,0,0,0,0,0,0.0168,0,0,0
4,Celadon-type  glaze David Pier,Iron - Celadon,Glossy,Transparent,9,11,73.5137,7.9179,0,0,2.2234,0.9122,3.1356,0,0.0994,15.1016,0,0,0,0,0,0,0,0,0,0,0,0.0702,0,0,0.0108,0,0,0.0048,0,0.146,0
5,Pier's Pure Lux-Deluxe Revised,Clear,Glossy,Transparent,8,9,70.4323,7.2079,2.3664,2.6814,0.2481,1.4185,1.6666,0,0.0702,0.1753,0,10.8692,3.8714,0,0,0,0,0,0,0,0,0.0414,0,0,0.0128,0,0,0.0034,0,0.6016,0
6,Blue Acero,Blue,Satin - Matte,Semi-opaque,9,11,61.1857,13.1454,0,0,4.1039,1.9229,6.0268,0,2.3536,16.1525,0,0,0,0,0.0327,0,0,0,0,0,0,0.893,0.1252,0,0,0,0,0.0851,0,0,0
8,#207.3,Clear,Glossy,,8,8,66.1378,7.2846,0,0,1.2723,4.1182,5.3905,0,6.0856,12.0695,0,2.9355,0,0,0.0053,0,0,0,0,0,0,0.0774,0,0,0,0,0,0.0138,0,0,0
9,Albany Glaze,Iron - Slip-Based,,,9,10,66.5966,9.498,0,0,2.3945,1.5848,3.9793,0,3.104,12.825,0,0,0,0,0,0,0,0,0,0,0,3.7353,0,0,0,0,0,0.2618,0,0,0
11,Alkaline High Fire 1,Clear,Glossy,Transparent,9,10,77.7298,9.075,0,0,7.7931,0.0039,7.797,0,0.0091,5.349,0,0,0,0,0.0065,0,0,0,0,0,0,0.0168,0,0,0,0,0,0.0168,0,0,0
12,Alkaline high fire 2,Clear,Glossy,Transparent,10,10,74.4222,7.9999,0,0,4.0524,1.8344,5.8868,0,0.1207,11.4635,0,0,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,0,0,0.065,0,0,0
13,Alkaline high fire 2 no cs,Clear,Glossy,Transparent,10,10,73.6435,8.3121,0,0,6.4682,0,6.4682,0,0.1211,11.4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alkaline Lee Rexrode,"White, Off-White",Satin - Matte,Semi-opaque,9,9,61.7488,10.9135,0,1.343,2.0562,6.4977,8.5539,0,0.149,0.5441,0,16.6005,0,0,0,0,0,0,0,0,0,0.0665,0,0,0,0,0,0.0807,0,0,0
15,Alkaline Lee Rexrode Sr,"White, Off-White",Satin - Matte,Translucent,9,9,61.6977,10.9044,0,1.3419,2.0545,6.4923,8.5468,0,0.1489,0.5437,16.6696,0,0,0,0,0,0,0,0,0,0,0.0665,0,0,0,0,0,0.0806,0,0,0
16,Amber Barnard,Iron - Slip-Based,Glossy,Transparent,10,10,59.7466,5.8742,1.0277,0,2.5245,1.0339,3.5584,0,0.8147,24.4903,0,0,0,0,0.0019,0,0,0,1.449,0,0,2.7765,0,0,0,0,0,0.2607,0,0,0
17,Val Cushing Amber Celadon,Iron - Amber,Glossy,,9,10,68.7485,7.5482,0.7436,0,2.3069,1.1118,3.4187,0,1.7406,16.091,0,0,0,0,0.0049,0,0,0,0,0,0,1.5767,0,0,0,0,0,0.1277,0,0,0
