"ave_orton_cone_id","SiO2","Al2O3","B2O3","Li2O","K2O","Na2O","KNaO","MgO","CaO","SrO","BaO","ZnO","PbO","P2O5","Cr2O3","MnO","MnO2","FeO","Fe2O3","CoO","NiO","CuO","Cu2O","TiO2","ZrO2","SnO2"
32,69.53,7.45,0.00,0.00,1.49,3.56,5.05,0.01,13.59,0.00,0.00,4.32,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.00
34,73.51,7.92,0.00,0.00,2.22,0.91,3.14,0.10,15.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.01,0.00,0.00,0.15,0.00
32,70.43,7.21,2.37,2.68,0.25,1.42,1.67,0.07,0.18,0.00,10.87,3.87,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.60,0.00
34,61.19,13.15,0.00,0.00,4.10,1.92,6.03,2.35,16.15,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.89,0.13,0.00,0.00,0.00,0.09,0.00,0.00
32,66.14,7.28,0.00,0.00,1.27,4.12,5.39,6.09,12.07,0.00,2.94,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.01,0.00,0.00
33,66.60,9.50,0.00,0.00,2.39,1.58,3.98,3.10,12.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.74,0.00,0.00,0.00,0.00,0.26,0.00,0.00
33,77.73,9.08,0.00,0.00,7.79,0.00,7.80,0.01,5.35,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00
34,74.42,8.00,0.00,0.00,4.05,1.83,5.89,0.12,11.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.07,0.00,0.00
34,73.64,8.31,0.00,0.00,6.47,0.00,6.47,0.12,11.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,61.75,10.91,0.00,1.34,2.06,6.50,8.55,0.15,0.54,0.00,16.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.08,0.00,0.00
33,61.70,10.90,0.00,1.34,2.05,6.49,8.55,0.15,0.54,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.08,0.00,0.00
34,59.75,5.87,1.03,0.00,2.52,1.03,3.56,0.81,24.49,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.26,0.00,0.00
33,68.75,7.55,0.74,0.00,2.31,1.11,3.42,1.74,16.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.13,0.00,0.00
33,59.50,5.75,0.00,0.00,6.45,3.06,9.51,2.53,17.17,0.00,0.00,0.00,0.00,1.42,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.03,0.00,0.00
34,72.00,8.36,0.00,0.00,2.08,0.99,3.07,0.14,15.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.22,0.00,0.00
33,69.16,7.63,0.72,0.00,2.14,1.34,3.48,1.57,16.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,68.65,7.23,1.16,0.00,2.19,1.33,3.52,1.55,16.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,65.73,6.85,0.85,0.00,2.59,0.95,3.54,1.98,17.76,0.00,0.00,0.00,0.00,0.04,0.00,0.36,0.00,0.00,2.53,0.00,0.00,0.00,0.00,0.36,0.00,0.00
34,67.66,7.13,1.28,0.00,2.11,1.60,3.72,1.80,8.65,8.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,66.96,6.76,1.24,0.00,2.15,1.60,3.74,1.83,18.44,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.04,0.00,0.00
34,67.90,8.05,0.76,0.00,2.30,1.83,4.13,2.53,15.16,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.10,0.00,0.00
34,65.92,6.13,0.87,0.00,2.50,1.35,3.85,0.35,19.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00
34,65.90,6.16,1.26,0.00,3.23,0.71,3.94,0.07,19.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,58.52,6.75,0.00,0.00,2.51,1.14,3.65,4.26,16.44,0.00,0.00,5.22,0.00,0.01,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,4.03,0.00,0.00
33,68.79,7.56,0.82,0.00,2.29,1.12,3.41,1.76,15.98,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.13,0.00,0.00
33,61.53,9.26,0.80,0.00,2.04,2.08,4.12,5.48,16.25,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.21,0.00,0.00
33,68.67,7.53,1.34,0.00,1.96,1.56,3.52,1.86,16.22,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.04,0.00,0.00
34,73.55,5.71,0.00,1.80,1.11,3.62,4.73,0.12,8.28,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,68.88,7.55,0.00,0.00,4.65,0.72,5.37,0.80,13.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.35,0.00,0.00,0.00,0.00,0.08,0.00,0.00
33,59.16,12.92,0.00,0.00,0.09,7.82,7.91,0.08,15.39,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.08,4.31,0.00,0.00,0.00,0.13,0.00,0.00
34,57.27,8.41,3.84,0.00,4.91,2.87,7.78,0.89,10.39,0.00,5.05,2.07,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.31,0.00,0.05,0.00,3.87
34,64.13,7.33,1.26,0.00,1.22,3.92,5.15,0.40,3.98,7.58,9.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.11,0.00,0.00
34,69.48,7.49,0.00,0.00,4.99,0.01,4.99,0.02,13.84,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,2.62,0.00,0.00
33,47.97,8.77,0.00,0.00,9.16,2.12,11.27,7.60,18.88,0.00,1.94,0.00,0.00,1.89,0.00,0.91,0.00,0.28,0.45,0.00,0.00,0.00,0.00,0.05,0.00,0.00
33,54.05,8.84,0.00,0.00,8.85,4.14,12.99,4.09,13.74,0.00,1.88,0.00,0.00,2.37,0.00,0.00,0.00,0.27,1.72,0.00,0.00,0.00,0.00,0.05,0.00,0.00
33,60.73,4.40,0.00,0.00,8.21,1.55,9.76,7.00,6.91,0.00,0.00,0.00,0.00,2.04,0.00,0.65,0.00,0.00,0.11,3.67,0.00,0.00,0.00,0.07,4.66,0.00
34,53.33,6.41,0.00,0.00,3.24,1.64,4.87,3.09,29.40,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,1.12,0.32,0.00,0.00,0.00,0.35,0.00,0.00
33,49.23,9.76,0.00,0.00,1.70,1.56,3.26,4.20,29.96,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,2.22,0.99,0.00,0.00,0.00,0.35,0.00,0.00
32,56.22,11.21,0.00,0.00,5.34,0.00,5.34,11.98,10.99,0.00,0.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00
33,60.75,7.62,0.54,0.00,5.28,3.93,9.21,7.86,11.24,0.00,0.00,0.00,0.00,1.36,0.00,0.00,0.00,0.25,1.13,0.00,0.00,0.00,0.00,0.04,0.00,0.00
34,46.58,4.90,0.00,0.00,9.59,4.54,14.13,6.11,22.62,0.00,0.00,0.00,0.00,3.46,0.00,0.00,0.00,0.00,2.07,0.00,0.00,0.00,0.00,0.14,0.00,0.00
33,64.02,11.12,0.00,0.00,7.53,7.23,14.76,2.35,5.63,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,54.88,7.91,0.00,0.00,2.11,0.29,2.41,1.90,24.21,5.41,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.65,0.00,0.00
34,47.36,8.54,0.00,0.00,8.64,4.02,12.66,10.08,15.45,0.00,0.00,0.00,0.00,2.45,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.05,1.97,0.00
34,46.83,4.68,0.00,0.00,1.01,0.00,1.01,0.95,39.29,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00,4.48,0.00,0.00,0.00,0.00,0.42,0.00,0.00
33,53.84,5.61,0.00,0.00,1.43,0.68,2.11,4.07,28.44,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.00,0.18,0.00,0.00
33,63.97,5.44,2.32,0.00,3.64,2.07,5.71,3.83,16.94,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.17,0.00,0.00
34,57.81,5.78,0.00,0.00,7.37,2.85,10.22,4.76,15.77,0.00,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.10,1.52,0.00
34,54.67,9.60,0.00,0.00,10.22,4.69,14.92,4.93,11.21,0.00,0.00,0.00,0.00,2.77,0.00,0.00,0.00,0.00,1.69,0.00,0.00,0.00,0.00,0.22,0.00,0.00
34,51.09,6.02,0.00,0.00,10.08,4.21,14.28,7.39,13.62,0.00,0.00,0.00,0.00,3.53,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.49,0.00,0.00
33,52.81,7.60,0.00,0.00,9.92,4.63,14.54,5.38,12.27,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,4.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,47.06,7.02,0.00,0.00,1.66,0.63,2.29,3.29,29.53,0.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,4.84,0.00,0.00
34,72.18,6.73,1.06,7.62,0.98,6.22,7.20,0.04,2.61,0.00,2.41,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.00,0.00
34,51.89,9.43,0.00,0.00,1.50,3.20,4.69,14.39,18.18,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.05,0.00,0.00
34,53.72,8.47,0.00,0.00,0.93,3.01,3.94,14.06,15.28,0.00,0.00,0.00,0.00,4.51,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,53.52,11.49,0.00,0.00,1.62,5.90,7.52,5.13,10.69,11.46,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.07,0.00,0.00
33,68.00,6.45,1.13,0.00,1.80,1.01,2.81,6.03,14.94,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.24
34,61.15,9.58,0.00,0.00,1.33,1.50,2.83,4.29,21.90,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.12,0.00,0.00
34,40.61,3.28,0.00,0.00,0.03,0.01,0.04,14.18,8.99,27.30,0.00,5.50,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.00
32,66.74,4.01,8.28,0.00,0.10,3.96,4.06,9.32,7.45,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.04,0.00,0.00
34,72.50,8.44,0.00,0.00,4.71,1.85,6.55,0.10,9.33,0.00,0.90,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,56.38,11.55,0.00,0.00,1.71,1.94,3.65,0.17,27.96,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.14,0.00,0.00
34,62.95,6.56,4.22,0.00,0.32,2.99,3.31,7.45,10.37,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.07,0.00,0.00
32,60.78,7.41,2.38,0.00,0.68,2.37,3.04,8.84,11.84,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,0.00,0.07,0.00,0.00
34,64.78,13.62,0.50,1.60,2.30,7.37,9.67,0.31,7.56,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.83,0.00,0.08,0.00,0.00
34,67.54,7.26,0.00,0.00,3.54,1.61,5.16,0.07,10.79,0.00,0.84,0.00,0.00,0.00,0.56,0.00,1.62,0.00,2.02,4.06,0.00,0.00,0.00,0.10,0.00,0.00
33,73.66,5.96,0.00,0.00,3.02,1.38,4.39,4.49,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,0.00,0.00,0.00,0.00,2.99,0.00,0.00
34,71.30,9.62,0.00,0.00,0.02,8.34,8.36,1.81,5.69,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.58,1.64,0.00,0.00,0.00,0.02,0.00,0.00
34,62.95,9.10,0.00,0.00,2.10,2.29,4.39,8.78,4.94,0.00,3.61,0.00,0.00,0.00,0.47,0.00,1.43,0.00,3.22,0.89,0.00,0.00,0.00,0.23,0.00,0.00
34,74.70,8.62,0.00,0.00,1.86,1.44,3.30,1.35,0.47,0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.00,0.00,6.27,1.42,0.00,0.00,0.00,0.58,0.00,0.00
34,69.49,9.93,0.00,0.00,5.05,2.26,7.32,3.45,6.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.11,0.84,0.00
34,70.14,9.91,0.00,0.00,4.77,2.24,7.01,3.45,6.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.13,0.81,0.00
34,67.29,6.50,0.00,0.00,2.11,2.17,4.29,12.08,7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00
33,66.20,9.85,0.00,0.00,2.55,2.97,5.52,3.17,11.76,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.62,1.31,0.00,1.26,0.00,0.00,0.00,0.00
34,64.44,9.93,0.00,0.00,0.05,5.42,5.47,7.36,7.35,0.00,0.00,0.00,0.00,0.02,1.55,0.00,2.35,0.00,1.47,0.00,0.00,0.00,0.00,0.06,0.00,0.00
34,67.03,10.89,0.00,0.00,2.52,2.57,5.08,3.90,6.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,4.82,0.00,0.00,0.00,0.29,0.00,0.00
33,63.70,11.37,0.00,0.00,1.39,1.57,2.97,5.83,13.66,0.00,0.00,0.00,0.00,0.03,0.46,0.00,0.00,0.00,0.69,1.17,0.00,0.00,0.00,0.13,0.00,0.00
34,64.96,10.16,0.00,0.00,0.05,5.18,5.22,2.58,9.66,0.00,0.00,0.00,0.00,0.00,0.93,0.00,1.93,0.00,3.85,0.65,0.00,0.00,0.00,0.06,0.00,0.00
34,69.46,6.11,0.00,0.00,3.63,1.60,5.23,0.12,10.42,0.00,0.79,0.00,0.00,0.00,0.52,0.31,1.57,0.00,2.48,2.93,0.00,0.00,0.00,0.06,0.00,0.00
33,57.38,11.15,0.00,0.00,3.46,1.51,4.97,0.08,13.11,0.00,0.00,4.02,0.00,0.03,0.00,0.00,1.96,0.00,3.33,0.82,0.00,0.00,0.00,2.29,0.00,0.87
34,61.54,7.47,0.00,0.00,5.27,1.69,6.95,0.00,9.08,0.00,0.00,10.29,0.00,0.00,1.84,0.00,0.00,0.00,1.66,1.17,0.00,0.00,0.00,0.00,0.00,0.00
