"ave_orton_cone_id","SiO2","Al2O3","B2O3","Li2O","MgO","CaO","SrO","BaO","ZnO","P2O5","MnO2","Fe2O3","TiO2"
10,56,5,13,9,0,7,0,0,0,0,0,0,0
10,66,6,7,5,0,5,2,0,2,0,0,0,0
11,34,11,0,0,0,4,0,0,0,0,0,0,0
11,70,4,2,0,0,6,0,0,0,0,0,0,0
12,65,11,1,0,0,3,0,3,0,0,0,0,0
12,76,9,0,4,0,0,0,0,0,0,0,0,0
13,31,3,0,0,0,0,0,3,0,0,0,0,0
13,48,6,13,0,0,0,0,0,0,0,0,10,0
14,33,4,25,0,6,23,0,0,0,0,0,0,0
14,34,4,25,0,6,23,0,0,0,0,0,0,0
14,36,3,25,0,6,23,0,0,0,0,0,0,0
14,36,4,23,0,5,21,0,0,0,0,0,1,0
14,41,2,0,8,0,0,0,0,0,0,0,0,0
14,43,0,0,9,0,0,0,0,0,0,0,0,0
14,49,5,0,7,0,4,0,0,0,1,0,0,0
14,50,5,0,0,0,0,0,0,0,0,0,0,0
15,10,0,36,0,3,14,0,0,0,0,0,2,0
15,15,1,1,0,0,1,0,0,0,0,0,5,0
15,17,4,40,6,0,3,0,0,0,0,0,0,3
15,19,3,46,0,0,31,0,0,0,0,0,0,0
15,20,4,34,9,1,5,0,0,0,0,0,0,4
15,21,2,21,2,5,33,0,0,0,4,0,0,0
15,21,2,21,3,5,33,0,0,0,4,0,0,0
15,32,9,24,2,6,22,0,0,0,0,0,0,0
15,33,4,25,0,6,23,0,0,0,0,0,0,0
15,38,4,21,0,5,19,0,0,0,0,0,0,0
15,41,4,23,0,5,21,0,0,0,0,0,1,0
15,44,8,0,0,0,0,0,7,0,0,0,0,0
15,46,4,20,0,5,18,0,3,0,0,0,0,0
15,54,9,15,0,0,16,0,0,0,0,0,0,0
15,73,7,0,0,0,5,0,0,0,0,0,0,0
15,75,10,0,0,0,4,0,0,0,0,0,0,0
15,83,8,0,0,0,0,0,0,0,0,0,0,0
15,85,6,0,0,0,0,0,0,0,0,0,0,0
16,11,0,42,0,4,16,0,0,0,0,0,3,0
16,19,5,6,62,0,2,0,0,0,0,0,0,0
16,20,7,5,60,0,2,0,0,0,0,4,0,0
16,27,5,8,0,2,8,0,0,0,0,0,1,24
16,32,6,21,0,6,25,0,0,0,0,0,0,0
16,35,3,25,0,16,17,0,0,0,0,0,0,0
16,42,5,24,0,3,24,0,0,0,0,0,0,0
16,47,8,2,17,0,10,0,0,0,0,0,0,0
16,49,5,0,0,0,0,0,0,0,0,0,0,0
16,53,10,16,0,4,14,0,0,0,0,0,0,0
16,54,11,3,17,0,5,0,0,2,0,0,0,0
16,55,11,2,24,0,3,0,0,0,0,0,0,0
16,55,12,6,23,0,3,0,0,0,0,0,0,0
16,55,13,0,0,0,20,0,0,5,0,0,0,0
16,55,9,2,14,0,6,0,0,4,0,0,0,0
16,59,8,12,0,0,5,0,0,0,0,0,0,0
16,60,8,5,0,5,11,0,0,0,0,0,2,3
16,63,7,9,3,1,10,0,0,0,0,0,2,1
16,65,13,6,3,2,0,0,0,0,0,0,2,1
16,65,4,5,15,1,6,0,0,0,0,0,0,0
16,68,10,5,3,1,7,0,0,0,0,0,2,1
16,68,13,5,3,2,0,0,0,0,0,0,2,1
16,68,4,0,24,0,0,0,0,0,0,4,0,0
16,68,7,8,3,1,3,0,0,0,0,0,2,1
16,68,9,2,16,0,1,0,0,0,0,0,0,0
16,69,10,2,14,0,1,0,0,0,0,0,0,0
16,69,4,0,24,0,0,0,0,0,0,0,0,0
16,69,4,0,25,0,0,0,0,0,0,0,0,0
16,69,9,2,14,0,2,0,0,0,0,0,0,0
16,70,13,4,3,2,0,0,0,0,0,0,2,1
16,70,4,0,25,0,0,0,0,0,0,0,0,0
16,80,8,0,11,0,0,0,0,0,0,0,0,0
17,0,0,39,0,0,15,0,0,0,0,0,2,35
17,11,0,39,0,4,15,0,0,0,0,0,1,10
17,14,1,0,0,0,1,0,0,0,0,0,0,0
17,15,1,23,0,5,41,0,0,0,6,0,0,0
17,16,1,25,0,6,38,0,0,0,5,0,0,0
17,16,1,26,0,6,23,0,0,0,0,0,0,21
17,16,4,46,0,0,31,0,0,0,0,0,0,0
17,17,4,0,0,0,0,0,0,0,0,0,0,0
17,18,1,1,0,0,2,0,0,0,0,0,7,0
17,19,3,13,0,3,12,0,0,0,0,0,20,0
17,23,3,14,0,3,11,0,0,0,0,0,0,0
17,24,3,21,0,5,29,0,0,0,3,0,1,0
17,25,4,13,0,3,36,0,0,0,7,0,0,0
17,26,2,1,0,0,2,0,0,0,0,0,0,0
17,27,0,0,49,19,0,0,0,0,0,4,0,0
17,27,5,8,0,2,8,0,0,0,0,0,1,24
17,29,0,41,0,18,0,0,0,0,0,0,0,0
17,29,5,25,10,3,10,0,0,0,2,0,0,0
17,31,4,24,0,5,21,0,0,0,0,0,0,0
17,32,4,25,0,5,21,0,0,0,0,0,3,0
17,33,3,29,0,2,9,0,0,0,0,0,5,0
17,33,4,25,0,5,21,0,0,0,0,0,0,0
17,34,3,25,0,6,22,0,0,0,0,0,0,0
17,34,3,25,0,6,23,0,0,0,0,0,0,0
17,35,0,25,0,3,24,0,0,0,0,0,0,0
17,35,3,26,0,6,24,0,0,0,0,0,0,0
17,35,5,19,0,7,18,0,0,0,0,0,0,10
17,35,6,24,0,5,22,0,0,0,0,0,0,0
17,35,6,24,0,6,22,0,0,0,0,0,0,0
17,35,8,9,10,0,16,0,0,0,4,0,0,0
17,36,3,25,0,6,23,0,0,0,0,0,0,0
17,36,4,32,0,0,21,0,4,0,0,0,0,0
17,37,5,14,0,3,12,0,0,0,0,0,0,0
17,38,3,23,0,2,20,0,0,0,0,0,4,0
17,38,5,30,0,0,17,0,0,0,0,0,0,0
17,40,7,10,21,2,9,0,0,0,0,0,0,0
17,41,10,0,7,0,0,0,0,0,0,0,0,0
17,42,3,19,0,4,17,0,2,0,0,0,0,0
17,44,4,13,0,19,12,0,0,0,0,0,0,0
17,44,7,17,0,4,16,0,2,0,0,0,0,1
17,46,6,26,0,0,17,0,0,0,0,0,0,0
17,48,2,17,0,0,18,0,0,0,0,0,0,0
17,48,2,18,0,0,20,0,0,0,0,0,0,0
17,48,6,0,37,0,0,0,0,0,0,0,0,0
17,50,11,1,0,0,2,0,22,0,0,0,0,0
17,51,3,16,0,0,18,0,0,0,0,0,0,0
17,51,3,9,0,0,27,0,0,0,0,0,0,0
17,52,3,17,0,0,19,0,0,0,0,0,0,0
17,53,7,14,6,2,14,0,0,0,0,0,0,0
17,53,7,15,0,0,13,0,0,0,0,0,0,0
17,54,12,0,0,21,1,0,0,0,0,0,0,0
17,54,7,16,0,0,14,0,0,0,0,0,0,0
17,54,9,0,0,12,6,0,0,0,2,0,2,0
17,55,3,10,0,0,29,0,0,0,0,0,0,0
17,55,3,9,0,0,29,0,0,0,0,0,0,0
17,55,5,12,9,0,7,0,0,0,0,0,0,0
17,56,3,10,0,0,29,0,0,0,0,0,1,0
17,56,4,12,0,0,12,0,0,0,0,0,0,0
17,56,8,11,4,2,11,0,0,0,0,0,0,2
17,57,9,9,0,2,9,0,0,0,0,0,0,0
17,58,10,9,0,0,12,0,1,0,0,0,0,0
17,58,8,10,0,0,12,0,0,0,0,0,0,0
17,59,9,13,0,0,1,0,0,0,0,0,0,0
17,60,3,14,0,0,15,0,0,0,0,0,0,0
17,60,8,7,0,1,8,0,0,0,0,0,0,2
17,60,9,10,0,0,13,0,0,0,0,0,0,0
17,61,13,3,0,0,17,0,0,0,0,0,0,0
17,62,2,10,9,2,9,0,0,0,0,0,0,0
17,63,2,2,28,1,2,0,0,0,0,0,0,0
17,66,7,9,0,0,11,0,0,0,0,0,0,0
17,67,5,3,0,0,6,0,0,0,0,0,0,0
17,68,4,0,24,0,0,0,0,0,0,0,0,0
17,68,4,4,0,0,6,0,0,0,0,0,0,0
17,9,4,21,8,38,6,0,0,0,0,0,0,0
18,15,3,4,70,1,0,0,0,0,0,0,0,0
18,16,1,25,0,6,38,0,0,0,5,0,0,0
18,16,8,46,0,0,31,0,0,0,0,0,0,0
18,17,2,38,0,4,15,0,0,0,0,0,5,0
18,17,3,44,0,0,29,0,0,0,0,0,1,0
18,19,0,1,73,0,1,0,0,0,0,0,0,0
18,19,3,45,0,0,23,0,0,0,0,0,0,0
18,19,9,43,0,0,28,0,0,0,0,0,0,0
18,21,3,16,0,4,36,0,0,0,6,0,0,0
18,24,2,14,0,3,13,0,0,0,0,0,0,0
18,24,6,17,0,34,13,0,0,0,0,0,0,0
18,25,4,13,0,3,36,0,0,0,7,0,0,0
18,26,0,35,0,0,28,0,0,0,0,0,0,0
18,28,4,15,0,3,30,0,0,0,5,0,0,0
18,30,4,13,0,3,12,0,0,0,0,0,1,19
18,32,4,16,0,4,15,0,0,0,0,0,0,0
18,32,4,23,0,5,21,0,0,0,0,0,2,0
18,33,3,23,0,5,20,0,2,0,0,1,0,3
18,34,3,12,25,3,11,0,0,0,0,6,0,0
18,34,5,20,6,5,18,0,0,0,0,0,1,0
18,36,3,18,0,3,17,0,0,12,0,0,0,0
18,36,4,16,0,2,16,0,0,0,0,0,1,15
18,37,5,17,0,9,15,0,0,0,0,0,0,0
18,4,0,6,0,1,6,0,0,81,0,0,0,0
18,42,3,19,0,4,17,0,2,0,0,0,0,0
18,42,5,19,3,0,24,0,0,0,0,0,0,0
18,42,6,20,0,5,18,0,0,0,0,0,0,0
18,43,7,8,0,0,27,0,0,0,0,5,0,0
18,44,6,20,0,4,18,0,0,0,0,0,0,0
18,45,1,11,0,0,18,0,0,0,0,0,0,0
